ecg_id,mean_rr_interval_I,sd_rr_interval_I,mean_r_peak_I,sd_r_peak_I,mean_pp_interval_I,sd_pp_interval_I,mean_p_peak_I,sd_p_peak_I,mean_tt_interval_I,sd_tt_interval_I,mean_t_peak_I,sd_t_peak_I,mean_qq_interval_I,sd_qq_interval_I,mean_q_peak_I,sd_q_peak_I,mean_ss_interval_I,sd_ss_interval_I,mean_s_peak_I,sd_s_peak_I,qrs_mean_I,qrs_std_I,RMSSD_I,R_HR_STD_I,R_HR_median_I,R_HR_min_I,R_HR_max_I,mean_heartrate_r_I
011506_20220922,0.0688316193053584,-0.533354336239531,2.263590169795344,-0.2674823309948159,0.0426591633799511,-0.5053250664195192,0.2605581088743514,-0.2602145576499116,0.0010124283744738,-0.3543569791829584,-1.5718301255805855,-0.6322893257819765,-0.037674188435754,-0.0975352870610892,0.4931201668948189,-0.3084353892365735,0.0401970549285288,-0.5117143467476309,-0.1835047734308085,-0.2667583449465236,1.0163829986501918,0.2389215847158499,-0.2744743130737165,-0.3775527222943234,-0.1505125131267242,0.0467879869293558,-0.380970928541522,-0.2395763705450487
011519_20220922,-1.4161750223095804,4.372441818553005,-1.396192556492754,-0.1489458337843232,-1.467911104076139,4.097895273663356,-0.6248757642635432,-0.009813157622676,-1.2524877296393186,2.417776142605371,-0.9763236789801611,1.7767979797777709,-1.425754802068905,4.681081635676901,0.8118260382239474,-0.7234680314987433,-1.4175873349180834,3.4646194704387687,0.8752960453191782,-0.542033277972437,2.3432237546866643,3.547163796859305,3.8340537336853138,6.130694866662638,1.6720427723471831,-0.3849262139982773,5.240963583239215,2.851974574339289
011526_20220922,1.8127279476308729,-0.6735430160977317,-0.8962547488041487,-0.859918473038685,1.850658444963906,-0.6033629935644013,0.2267031423762045,-0.6159768418590926,1.371550926446513,0.2802955976464318,-1.059423010801838,0.4739723834225781,1.7114252901007658,-0.416757956150251,1.3619817567294477,0.1259129007535431,1.7808821298065751,-0.6517098230968847,0.2061545299887603,-0.7257653439417329,0.0436509939330353,-0.1735014925222876,-0.943468557802199,-0.4694665195367069,-1.3379530929582757,-1.2406978461060825,-1.0033832910326328,-1.3112045614986445
011532_20220922,1.044399819165162,-0.3941132662183579,-1.3430080297028262,-0.9592497132424233,1.0265174296835884,-0.4222686673335575,-0.1980895183585084,-0.5993143128537134,0.8616615875888183,-0.2885438163324227,-0.1862723603112723,-0.6086497650772024,0.93341821287745,-0.3010628322604652,0.8315972046351978,-0.6472650121632979,0.991614223976438,-0.4107092962493825,0.7068254070215185,-0.3130172732531025,-0.4654687459085161,-0.2156909266770339,-0.7027150377618349,-0.3637842318198966,-0.8932803731186967,-0.7940850794015097,-0.7450566764702997,-0.8971761153834147
011536_20220922,-0.0463373986984793,-0.664930145639965,1.9958960502301144,-0.2272335950669009,-0.073283729955495,-0.6218280528009467,0.8785303619666361,-0.4538886312803164,-0.0913395243270236,-0.4241430721881337,0.4020076940019714,-0.5961991862384554,-0.0967722096236375,-0.5099111221853208,-4.130983679428375,-0.0088183125832247,-0.0905410944721819,-0.5564657390093487,0.3728711490746083,-0.3658268307352735,0.5527707337745869,-0.1379162928948412,-0.2121694054896669,-0.4329024711636786,-0.0763339564263302,0.228503589427864,-0.380970928541522,-0.1501847941369021
011551_20220924,-0.1778674749702706,-0.4250365358842859,-0.6135155809781737,-0.5720212992943938,-0.2091025478627305,-0.4161012290540289,-0.0468242060581489,-0.3934038251766223,-0.2064242653858135,-0.3038095203016993,-0.1014494996421595,-0.5960262825276741,-0.2293009946795231,-0.3547667536791181,-0.0576500427361706,0.0383554534960413,-0.209988221879196,-0.4041185803918404,0.1017022880340287,0.3157670843558414,-0.37445328401241,-0.3240228554252702,-0.1324081640415283,-0.3129536725734483,-0.0511660229396074,0.2573635939360822,-0.2366762020628417,-0.0400375273346874
011577_20220924,-0.1842835762518218,-0.3120260589378019,2.201601492690329,0.468765311637316,-0.2124152019580283,-0.3563878062651676,0.0372214467619317,-0.2626341531918177,-0.2078450646581436,-0.2350919452158596,0.7911592213594747,-0.2321792917540968,-0.2575738021581121,-0.274502869546226,-1.9705312555744052,0.2010540129427925,-0.206422635986449,-0.2967439353275783,0.3836302512241895,-0.2527042529526491,0.296788627270072,-0.2600366370178696,-0.1263551830001708,-0.2612199841085629,-0.0129983528832024,0.1433910337595611,-0.2572161610283141,-0.0326559444424044
011579_20220924,-1.285811509907161,0.1033155326912919,1.8422518617258783,0.74425718489826,-1.3531728122298938,-0.0378679020411592,-0.1205430867641964,-0.3078956602008598,-1.1869049268642335,-0.0217377809740159,2.0470580281534416,0.1964719851631662,-1.3305268459705657,0.0345531399696844,-1.4769953576517618,-0.2367759707892878,-1.3085452354344491,0.053038334792414,-3.7465971444860178,1.399445332088896,-0.6521549602896197,-0.4340036712001678,0.7859661748314374,0.1244917039960716,1.306984095878329,0.9266147885271326,0.5370758982816471,1.0971802901348708
011619_20220926,-0.3628115944109731,-0.1171301867026071,0.1632475628572865,2.0827382552810305,-0.4134933055426445,-0.1277948664819131,-0.7065705465885794,-0.0809026715736211,-0.3001970173596417,-0.2960023954241957,3.003194778914905,-0.3562466124174574,-0.3329679554343498,-0.2367467116558911,-0.2312927045592157,-0.5199159052116933,-0.2989297810927105,-0.4334627128940949,-4.084711872042425,0.3197725043202026,0.0487706360631257,-0.1150853136183372,-0.0066213805146343,-0.1206142401156424,0.1318583475357475,0.360362866043094,0.08423418775338,0.1268031443958636
011629_20220926,0.7408380272817887,-0.1788001593232812,-0.7459966581181889,-0.5074754997001194,0.7395587686783611,-0.233221821233048,-0.0103973871683501,-0.4182394195034795,0.6075161177506578,-0.16861328321894,-0.058665659185302,-0.560459918544578,0.6350391196659121,-0.1938260073494915,-0.0001703665687151,0.1815409693875797,0.6704568089226103,-0.2404723235664904,0.6527385240046931,0.1135630549600973,-0.6411011409665417,-0.4007060660004755,-0.5839904407357911,-0.2725728187604743,-0.6644239326910104,-0.6459114725375514,-0.5943683163715838,-0.707517508259923
